Line ID,Utility ID,Source Substation ID,Source Substation,Destination Substation ID,Destination Substation,Voltage (kV),Length (km),Capacity (MVA),Status,Line Type,Utility Name,Utility Alias,Utility Code,Utility Type,Utility Country,Utility Active,Source Substation Name,Source Short Name,Source Region,Source Country,Source Latitude,Source Longitude,Source Voltage (kV),Source Capacity (MVA),Source Commissioning Year,Source Type,Source Status,Destination Substation Name,Destination Short Name,Destination Region,Destination Country,Destination Latitude,Destination Longitude,Destination Voltage (kV),Destination Capacity (MVA),Destination Commissioning Year,Destination Type,Destination Status
11,1,7,Kumasi Central Substation,10,Mampong Substation,69,53.3,269.1,Active,Overhead,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana,Y,Kumasi Central Substation,Kumasi Central,Ashanti,Ghana,6.6856,-1.623,161,221.4,2018,Transmission,Active,Mampong Substation,Mampong,Ashanti,Ghana,7.0553,-1.4029,69,189.6,2007,Bulk Supply Point,Active
12,3,7,Kumasi Central Substation,11,Konongo Substation,69,50.4,116.0,Active,Underground,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Kumasi Central Substation,Kumasi Central,Ashanti,Ghana,6.6856,-1.623,161,221.4,2018,Transmission,Active,Konongo Substation,Konongo,Ashanti,Ghana,6.6094,-1.2163,69,285.2,1999,Bulk Supply Point,Active
13,2,8,Ejisu Substation,9,Obuasi Substation,33,76.1,256.9,Active,Underground,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,Y,Ejisu Substation,Ejisu,Ashanti,Ghana,6.7128,-1.4716,330,355.9,2007,Transmission,Active,Obuasi Substation,Obuasi,Ashanti,Ghana,6.2091,-1.6557,33,47.5,1989,Distribution,Active
14,2,8,Ejisu Substation,11,Konongo Substation,69,37.8,198.4,Active,Underground,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,Y,Ejisu Substation,Ejisu,Ashanti,Ghana,6.7128,-1.4716,330,355.9,2007,Transmission,Active,Konongo Substation,Konongo,Ashanti,Ghana,6.6094,-1.2163,69,285.2,1999,Bulk Supply Point,Active
15,1,9,Obuasi Substation,11,Konongo Substation,33,71.0,284.6,Active,Overhead,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana,Y,Obuasi Substation,Obuasi,Ashanti,Ghana,6.2091,-1.6557,33,47.5,1989,Distribution,Active,Konongo Substation,Konongo,Ashanti,Ghana,6.6094,-1.2163,69,285.2,1999,Bulk Supply Point,Active
16,2,10,Mampong Substation,11,Konongo Substation,69,64.2,61.5,Active,Underground,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,Y,Mampong Substation,Mampong,Ashanti,Ghana,7.0553,-1.4029,69,189.6,2007,Bulk Supply Point,Active,Konongo Substation,Konongo,Ashanti,Ghana,6.6094,-1.2163,69,285.2,1999,Bulk Supply Point,Active
17,1,12,Takoradi Substation,13,Aboadze Substation,33,12.3,78.8,Active,Overhead,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana,Y,Takoradi Substation,Takoradi,Western,Ghana,4.9048,-1.7562,33,14.0,2000,Distribution,Active,Aboadze Substation,Aboadze,Western,Ghana,4.9905,-1.7714,33,42.7,1967,Distribution,Active
18,3,12,Takoradi Substation,14,Tarkwa Substation,33,66.2,133.8,Active,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Takoradi Substation,Takoradi,Western,Ghana,4.9048,-1.7562,33,14.0,2000,Distribution,Active,Tarkwa Substation,Tarkwa,Western,Ghana,5.3093,-1.9927,69,169.4,2010,Bulk Supply Point,Active
19,1,13,Aboadze Substation,14,Tarkwa Substation,33,55.8,247.0,Active,Overhead,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana,Y,Aboadze Substation,Aboadze,Western,Ghana,4.9905,-1.7714,33,42.7,1967,Distribution,Active,Tarkwa Substation,Tarkwa,Western,Ghana,5.3093,-1.9927,69,169.4,2010,Bulk Supply Point,Active
20,2,13,Aboadze Substation,15,Axim Substation,33,66.4,135.3,Active,Overhead,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,Y,Aboadze Substation,Aboadze,Western,Ghana,4.9905,-1.7714,33,42.7,1967,Distribution,Active,Axim Substation,Axim,Western,Ghana,4.8747,-2.2381,69,96.9,1974,Bulk Supply Point,Active
21,3,14,Tarkwa Substation,15,Axim Substation,69,59.7,264.2,Active,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Tarkwa Substation,Tarkwa,Western,Ghana,5.3093,-1.9927,69,169.4,2010,Bulk Supply Point,Active,Axim Substation,Axim,Western,Ghana,4.8747,-2.2381,69,96.9,1974,Bulk Supply Point,Active
22,2,16,Cape Coast Substation,17,Winneba Substation,69,84.4,249.8,Active,Overhead,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,Y,Cape Coast Substation,Cape Coast,Central,Ghana,5.1068,-1.2411,69,68.8,1992,Bulk Supply Point,Active,Winneba Substation,Winneba,Central,Ghana,5.362,-0.6218,330,168.8,1970,Transmission,Active
23,1,16,Cape Coast Substation,18,Kasoa Substation,11,118.3,98.0,Under Maintenance,Underground,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana,Y,Cape Coast Substation,Cape Coast,Central,Ghana,5.1068,-1.2411,69,68.8,1992,Bulk Supply Point,Active,Kasoa Substation,Kasoa,Central,Ghana,5.5262,-0.4124,11,52.4,2003,Distribution,Active
24,3,16,Cape Coast Substation,19,Assin Fosu Substation,11,82.4,294.7,Active,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Cape Coast Substation,Cape Coast,Central,Ghana,5.1068,-1.2411,69,68.8,1992,Bulk Supply Point,Active,Assin Fosu Substation,Assin Fosu,Central,Ghana,5.6984,-1.497,11,26.2,2000,Distribution,Active
25,2,17,Winneba Substation,18,Kasoa Substation,11,32.3,289.5,Active,Overhead,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,Y,Winneba Substation,Winneba,Central,Ghana,5.362,-0.6218,330,168.8,1970,Transmission,Active,Kasoa Substation,Kasoa,Central,Ghana,5.5262,-0.4124,11,52.4,2003,Distribution,Active
26,2,18,Kasoa Substation,19,Assin Fosu Substation,11,140.9,295.6,Active,Overhead,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,Y,Kasoa Substation,Kasoa,Central,Ghana,5.5262,-0.4124,11,52.4,2003,Distribution,Active,Assin Fosu Substation,Assin Fosu,Central,Ghana,5.6984,-1.497,11,26.2,2000,Distribution,Active
27,3,20,Koforidua Substation,21,Akosombo Substation,11,48.0,165.6,Active,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Koforidua Substation,Koforidua,Eastern,Ghana,6.1017,-0.254,11,42.4,2014,Distribution,Active,Akosombo Substation,Akosombo,Eastern,Ghana,6.2991,0.0641,69,57.9,2021,Bulk Supply Point,Active
28,1,20,Koforidua Substation,22,Nkawkaw Substation,11,98.0,277.8,Active,Overhead,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana,Y,Koforidua Substation,Koforidua,Eastern,Ghana,6.1017,-0.254,11,42.4,2014,Distribution,Active,Nkawkaw Substation,Nkawkaw,Eastern,Ghana,6.5502,-0.7749,69,389.2,2005,Bulk Supply Point,Active
29,2,21,Akosombo Substation,22,Nkawkaw Substation,69,117.8,111.3,Active,Overhead,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,Y,Akosombo Substation,Akosombo,Eastern,Ghana,6.2991,0.0641,69,57.9,2021,Bulk Supply Point,Active,Nkawkaw Substation,Nkawkaw,Eastern,Ghana,6.5502,-0.7749,69,389.2,2005,Bulk Supply Point,Active
30,3,21,Akosombo Substation,23,Suhum Substation,69,82.7,209.6,Active,Underground,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Akosombo Substation,Akosombo,Eastern,Ghana,6.2991,0.0641,69,57.9,2021,Bulk Supply Point,Active,Suhum Substation,Suhum,Eastern,Ghana,6.035,-0.4535,69,339.0,1975,Bulk Supply Point,Active
31,1,22,Nkawkaw Substation,23,Suhum Substation,69,75.9,78.9,Active,Underground,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana,Y,Nkawkaw Substation,Nkawkaw,Eastern,Ghana,6.5502,-0.7749,69,389.2,2005,Bulk Supply Point,Active,Suhum Substation,Suhum,Eastern,Ghana,6.035,-0.4535,69,339.0,1975,Bulk Supply Point,Active
32,2,24,Ho Substation,25,Kpong Substation,11,79.5,163.1,Active,Overhead,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,Y,Ho Substation,Ho,Volta,Ghana,6.6194,0.473,330,382.1,1996,Transmission,Active,Kpong Substation,Kpong,Volta,Ghana,6.1597,0.1061,11,11.2,1980,Distribution,Active
33,3,24,Ho Substation,27,Sogakope Substation,11,84.4,113.9,Active,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Ho Substation,Ho,Volta,Ghana,6.6194,0.473,330,382.1,1996,Transmission,Active,Sogakope Substation,Sogakope,Volta,Ghana,5.9995,0.5762,11,58.8,2000,Distribution,Active
34,1,25,Kpong Substation,27,Sogakope Substation,11,59.7,32.9,Active,Overhead,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana,Y,Kpong Substation,Kpong,Volta,Ghana,6.1597,0.1061,11,11.2,1980,Distribution,Active,Sogakope Substation,Sogakope,Volta,Ghana,5.9995,0.5762,11,58.8,2000,Distribution,Active
35,3,26,Hohoe Substation,27,Sogakope Substation,11,152.5,221.1,Active,Underground,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Hohoe Substation,Hohoe,Volta,Ghana,7.1436,0.4766,11,18.2,2017,Distribution,Active,Sogakope Substation,Sogakope,Volta,Ghana,5.9995,0.5762,11,58.8,2000,Distribution,Active
36,3,28,Sunyani Substation,29,Techiman Substation,33,63.1,269.9,Active,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Sunyani Substation,Sunyani,Bono,Ghana,7.3375,-2.3318,33,19.6,1999,Distribution,Active,Techiman Substation,Techiman,Bono,Ghana,7.5934,-1.9405,33,44.2,2022,Distribution,Active
37,3,29,Techiman Substation,30,Berekum Substation,33,87.3,34.1,Active,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Techiman Substation,Techiman,Bono,Ghana,7.5934,-1.9405,33,44.2,2022,Distribution,Active,Berekum Substation,Berekum,Bono,Ghana,7.4443,-2.5946,330,188.8,2000,Transmission,Active
38,2,31,Tamale Substation,32,Yendi Substation,11,112.6,296.6,Active,Underground,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,Y,Tamale Substation,Tamale,Northern,Ghana,9.4072,-0.8508,33,37.4,1969,Distribution,Inactive,Yendi Substation,Yendi,Northern,Ghana,9.4368,-0.0076,11,52.3,1978,Distribution,Active
39,3,34,Bolgatanga Substation,35,Bawku Substation,161,86.6,64.6,Active,Underground,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Bolgatanga Substation,Bolgatanga,Upper East,Ghana,10.7789,-0.8524,161,325.9,1992,Transmission,Active,Bawku Substation,Bawku,Upper East,Ghana,11.0615,-0.2333,161,194.8,1971,Transmission,Active
40,3,1,Achimota Substation,7,Kumasi Central Substation,330,225.4,303.7,Active,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Achimota Substation,Achimota,Greater Accra,Ghana,5.6085,-0.2193,11,6.4,2008,Distribution,Active,Kumasi Central Substation,Kumasi Central,Ashanti,Ghana,6.6856,-1.623,161,221.4,2018,Transmission,Active
41,3,7,Kumasi Central Substation,12,Takoradi Substation,330,228.3,298.9,Active,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Kumasi Central Substation,Kumasi Central,Ashanti,Ghana,6.6856,-1.623,161,221.4,2018,Transmission,Active,Takoradi Substation,Takoradi,Western,Ghana,4.9048,-1.7562,33,14.0,2000,Distribution,Active
42,3,12,Takoradi Substation,16,Cape Coast Substation,330,70.5,455.1,Active,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Takoradi Substation,Takoradi,Western,Ghana,4.9048,-1.7562,33,14.0,2000,Distribution,Active,Cape Coast Substation,Cape Coast,Central,Ghana,5.1068,-1.2411,69,68.8,1992,Bulk Supply Point,Active
43,3,16,Cape Coast Substation,20,Koforidua Substation,330,178.8,506.3,Active,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Cape Coast Substation,Cape Coast,Central,Ghana,5.1068,-1.2411,69,68.8,1992,Bulk Supply Point,Active,Koforidua Substation,Koforidua,Eastern,Ghana,6.1017,-0.254,11,42.4,2014,Distribution,Active
44,3,20,Koforidua Substation,24,Ho Substation,330,113.7,408.5,Active,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Koforidua Substation,Koforidua,Eastern,Ghana,6.1017,-0.254,11,42.4,2014,Distribution,Active,Ho Substation,Ho,Volta,Ghana,6.6194,0.473,330,382.1,1996,Transmission,Active
45,3,24,Ho Substation,28,Sunyani Substation,330,367.7,450.7,Active,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Ho Substation,Ho,Volta,Ghana,6.6194,0.473,330,382.1,1996,Transmission,Active,Sunyani Substation,Sunyani,Bono,Ghana,7.3375,-2.3318,33,19.6,1999,Distribution,Active
46,3,28,Sunyani Substation,31,Tamale Substation,330,324.3,309.8,Active,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Sunyani Substation,Sunyani,Bono,Ghana,7.3375,-2.3318,33,19.6,1999,Distribution,Active,Tamale Substation,Tamale,Northern,Ghana,9.4072,-0.8508,33,37.4,1969,Distribution,Inactive
47,3,31,Tamale Substation,34,Bolgatanga Substation,330,175.4,231.0,Active,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Tamale Substation,Tamale,Northern,Ghana,9.4072,-0.8508,33,37.4,1969,Distribution,Inactive,Bolgatanga Substation,Bolgatanga,Upper East,Ghana,10.7789,-0.8524,161,325.9,1992,Transmission,Active
48,3,34,Bolgatanga Substation,36,Wa Substation,330,227.0,314.3,Active,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Bolgatanga Substation,Bolgatanga,Upper East,Ghana,10.7789,-0.8524,161,325.9,1992,Transmission,Active,Wa Substation,Wa,Upper West,Ghana,10.0682,-2.506,11,27.1,1977,Distribution,Active
49,9,34,Bolgatanga Substation,37,Bolgatanga Interconnection,330,53.0,217.9,Active,Overhead,Sonabel,SONABEL,SNB,Distribution,Burkina Faso,Y,Bolgatanga Substation,Bolgatanga,Upper East,Ghana,10.7789,-0.8524,161,325.9,1992,Transmission,Active,Bolgatanga Interconnection,Bolgatanga Interconnection,Burkina Faso border,Burkina,11.2,-0.75,330,156.1,1991,Transmission,Active
50,9,37,Bolgatanga Interconnection,43,Bobo-Dioulasso Hub,330,426.0,229.9,Active,Overhead,Sonabel,SONABEL,SNB,Distribution,Burkina Faso,Y,Bolgatanga Interconnection,Bolgatanga Interconnection,Burkina Faso border,Burkina,11.2,-0.75,330,156.1,1991,Transmission,Active,Bobo-Dioulasso Hub,Bobo-Dioulasso Hub,Burkina Faso,Burkina,11.18,-4.3,161,445.9,1983,Transmission,Active
51,5,38,Elubo Border Station,7,Kumasi Central Substation,330,235.2,285.0,Active,Overhead,Compagnie Ivoirienne d'Electricite,CIE,CIE,Distribution,Cote d'Ivoire,Y,Elubo Border Station,Elubo Border Station,Cote d'Ivoire border,Cote,5.2,-2.85,330,285.1,1984,Transmission,Active,Kumasi Central Substation,Kumasi Central,Ashanti,Ghana,6.6856,-1.623,161,221.4,2018,Transmission,Active
52,5,38,Elubo Border Station,42,Abidjan Transmission Hub,330,141.3,184.6,Active,Overhead,Compagnie Ivoirienne d'Electricite,CIE,CIE,Distribution,Cote d'Ivoire,Y,Elubo Border Station,Elubo Border Station,Cote d'Ivoire border,Cote,5.2,-2.85,330,285.1,1984,Transmission,Active,Abidjan Transmission Hub,Abidjan Transmission Hub,Cote d'Ivoire,Cote,5.35,-4.0,161,262.6,2010,Transmission,Active
53,6,39,Aflao Border Station,2,Tema Substation,330,157.9,207.8,Active,Overhead,Communaute Electrique du Benin,CEB,CEB,Transmission,Togo/Benin,Y,Aflao Border Station,Aflao Border Station,Togo border,Togo,6.12,1.19,330,423.2,2015,Transmission,Active,Tema Substation,Tema,Greater Accra,Ghana,5.6596,-0.0226,330,48.5,1997,Transmission,Active
54,6,39,Aflao Border Station,40,Lome Transmission Hub,330,3.8,323.5,Active,Overhead,Communaute Electrique du Benin,CEB,CEB,Transmission,Togo/Benin,Y,Aflao Border Station,Aflao Border Station,Togo border,Togo,6.12,1.19,330,423.2,2015,Transmission,Active,Lome Transmission Hub,Lome Transmission Hub,Togo,Togo,6.13,1.22,161,120.2,2014,Transmission,Active
55,6,40,Lome Transmission Hub,41,Cotonou Transmission Hub,330,150.0,326.6,Active,Overhead,Communaute Electrique du Benin,CEB,CEB,Transmission,Togo/Benin,Y,Lome Transmission Hub,Lome Transmission Hub,Togo,Togo,6.13,1.22,161,120.2,2014,Transmission,Active,Cotonou Transmission Hub,Cotonou Transmission Hub,Benin,Benin,6.37,2.43,161,487.6,1995,Transmission,Active
